,Player,,C,1B,2B,3B,SS,OF
CIN,"Suarez, Eugenio",Gopher Balls,,,,,X,
MIA,"Suzuki, Ichiro",,,,,,,X
PHI,"Sweeney, Darnell",Kilroy Sureshots (Minors),,,,,,X
CHC,"Szczur, Matt",,,,,,,X
WAS,"Taylor, Michael",Alien Nation,,,,,,X
STL,"Tejada, Ruben",,,,,,X,
LAD,"Thompson, Trayce",,,,,,,X
ARI,"Tomas, Yasmany",,,,,X,,X
SF,"Tomlinson, Kelby",,,,X,,,
LAD,"Turner, Justin",Wooden Spooners,,,,X,,
WAS,"Turner, Trea",Steroid Stiffs (Minors),,,X,,,
SD,"Upton Jr., Melvin",,,,,,,X
LAD,"Utley, Chase",,,,X,,,
LAD,"Van Slyke, Scott",,,X,,,,X
CHC,"Villanueva, Christian",,,,,X,,
MIL,"Villar, Jonathan",,,,,,X,
CIN,"Votto, Joey",,,X,,,,
NYM,"Walker, Neil",,,,X,,,
SD,"Wallace, Brett",,,X,,,,
MIL,"Walsh, Colin",,,,X,,,
WAS,"Werth, Jayson",,,,,,,X
COL,"Wolters, Tony",,X,,,,,
STL,"Wong, Kolten",,,,X,,,
NYM,"Wright, David",,,,,X,,
MIA,"Yelich, Christian",Alien Nation,,,,,,X
WAS,"Zimmerman, Ryan",,,X,,,,
CHC,"Zobrist, Ben",,,,X,,,X
